,Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort,BORO,District,Income,y
595,Total Cohort,03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,2003,113,56,49.6,30,26.5,53.6,2,1.8,3.6,28,24.8,50.0,26,23.0,46.4,38,33.6,16,14.2,M,03,110371,57.5
596,Total Cohort,03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,2004,106,61,57.5,37,34.9,60.7,5,4.7,8.2,32,30.2,52.5,24,22.6,39.3,23,21.7,21,19.8,M,03,110371,72.4
597,Total Cohort,03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,2005,98,71,72.4,51,52.0,71.8,3,3.1,4.2,48,49.0,67.6,20,20.4,28.2,19,19.4,7,7.1,M,03,110371,80.4
598,Total Cohort,03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,2006,107,86,80.4,69,64.5,80.2,16,15.0,18.6,53,49.5,61.6,17,15.9,19.8,9,8.4,10,9.3,M,03,110371,
599,Total Cohort,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2001,2,s,,s,,,s,,,s,,,s,,,s,,s,,M,03,110371,65.5
600,Total Cohort,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2002,165,108,65.5,72,43.6,66.7,1,0.6,0.9,71,43.0,65.7,36,21.8,33.3,45,27.3,9,5.5,M,03,110371,49.0
601,Total Cohort,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2003,151,74,49.0,41,27.2,55.4,1,0.7,1.4,40,26.5,54.1,33,21.9,44.6,40,26.5,32,21.2,M,03,110371,59.4
602,Total Cohort,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2004,155,92,59.4,62,40.0,67.4,10,6.5,10.9,52,33.5,56.5,30,19.4,32.6,31,20.0,31,20.0,M,03,110371,69.7
603,Total Cohort,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2005,152,106,69.7,84,55.3,79.2,11,7.2,10.4,73,48.0,68.9,22,14.5,20.8,30,19.7,9,5.9,M,03,110371,65.0
604,Total Cohort,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2006,137,89,65.0,69,50.4,77.5,4,2.9,4.5,65,47.4,73.0,20,14.6,22.5,28,20.4,9,6.6,M,03,110371,
605,Total Cohort,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,2001,312,52,16.7,5,1.6,9.6,0,0.0,0.0,5,1.6,9.6,47,15.1,90.4,206,66.0,43,13.8,M,03,110371,12.0
606,Total Cohort,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,2002,266,32,12.0,3,1.1,9.4,0,0.0,0.0,3,1.1,9.4,29,10.9,90.6,197,74.09999999999998,30,11.3,M,03,110371,12.1
607,Total Cohort,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,2003,290,35,12.1,5,1.7,14.3,0,0.0,0.0,5,1.7,14.3,30,10.3,85.7,187,64.5,61,21.0,M,03,110371,24.4
608,Total Cohort,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,2004,197,48,24.4,7,3.6,14.6,0,0.0,0.0,7,3.6,14.6,41,20.8,85.4,113,57.4,33,16.8,M,03,110371,25.1
609,Total Cohort,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,2005,227,57,25.1,14,6.2,24.6,0,0.0,0.0,14,6.2,24.6,43,18.9,75.4,131,57.7,35,15.4,M,03,110371,27.5
610,Total Cohort,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,2006,200,55,27.5,32,16.0,58.2,1,0.5,1.8,31,15.5,56.4,23,11.5,41.8,132,66.0,13,6.5,M,03,110371,
611,Total Cohort,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,2003,84,75,89.3,75,89.3,100.0,24,28.6,32.0,51,60.7,68.0,0,0.0,0.0,5,6.0,4,4.8,M,03,110371,93.2
612,Total Cohort,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,2004,117,109,93.2,104,88.9,95.4,41,35.0,37.6,63,53.8,57.8,5,4.3,4.6,7,6.0,1,0.9,M,03,110371,92.2
613,Total Cohort,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,2005,102,94,92.2,89,87.3,94.7,22,21.6,23.4,67,65.7,71.3,5,4.9,5.3,7,6.9,1,1.0,M,03,110371,93.3
614,Total Cohort,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,2006,90,84,93.3,84,93.3,100.0,47,52.2,56.0,37,41.1,44.0,0,0.0,0.0,5,5.6,1,1.1,M,03,110371,
615,Total Cohort,03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,2002,2,s,,s,,,s,,,s,,,s,,,s,,s,,M,03,110371,77.8
616,Total Cohort,03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,2003,27,21,77.8,16,59.3,76.2,5,18.5,23.8,11,40.7,52.4,5,18.5,23.8,5,18.5,1,3.7,M,03,110371,71.6
617,Total Cohort,03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,2004,67,48,71.6,39,58.2,81.3,12,17.9,25.0,27,40.3,56.3,9,13.4,18.8,14,20.9,5,7.5,M,03,110371,55.1
618,Total Cohort,03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,2005,69,38,55.1,32,46.4,84.2,7,10.1,18.4,25,36.2,65.8,6,8.7,15.8,24,34.8,0,0.0,M,03,110371,74.09999999999998
619,Total Cohort,03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,2006,54,40,74.09999999999998,31,57.4,77.5,9,16.7,22.5,22,40.7,55.0,9,16.7,22.5,3,5.6,7,13.0,M,03,110371,
620,Total Cohort,04M409,COALITION SCHOOL FOR SOCIAL CHANGE,2006,76,52,68.4,30,39.5,57.7,1,1.3,1.9,29,38.2,55.8,22,28.9,42.3,8,10.5,10,13.2,M,04,35344,
621,Total Cohort,04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,2001,414,275,66.4,259,62.6,94.2,175,42.3,63.6,84,20.3,30.5,16,3.9,5.8,93,22.5,31,7.5,M,04,35344,74.2
622,Total Cohort,04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,2002,431,320,74.2,305,70.8,95.3,227,52.7,70.90000000000002,78,18.1,24.4,15,3.5,4.7,74,17.2,27,6.3,M,04,35344,79.4
623,Total Cohort,04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,2003,306,243,79.4,228,74.5,93.8,171,55.9,70.40000000000002,57,18.6,23.5,15,4.9,6.2,36,11.8,22,7.2,M,04,35344,78.0
624,Total Cohort,04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,2004,313,244,78.0,217,69.3,88.9,163,52.1,66.8,54,17.3,22.1,27,8.6,11.1,40,12.8,15,4.8,M,04,35344,86.4
625,Total Cohort,04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,2005,418,361,86.4,331,79.2,91.7,232,55.5,64.3,99,23.7,27.4,30,7.2,8.3,37,8.9,9,2.2,M,04,35344,89.8
626,Total Cohort,04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,2006,381,342,89.8,328,86.1,95.9,210,55.1,61.4,118,31.0,34.5,14,3.7,4.1,26,6.8,5,1.3,M,04,35344,
627,Total Cohort,04M495,PARK EAST HIGH SCHOOL,2001,61,41,67.2,12,19.7,29.3,0,0.0,0.0,12,19.7,29.3,29,47.5,70.7,14,23.0,5,8.2,M,04,35344,63.4
628,Total Cohort,04M495,PARK EAST HIGH SCHOOL,2002,71,45,63.4,16,22.5,35.6,3,4.2,6.7,13,18.3,28.9,29,40.8,64.4,14,19.7,12,16.9,M,04,35344,72.3
629,Total Cohort,04M495,PARK EAST HIGH SCHOOL,2003,83,60,72.3,29,34.9,48.3,0,0.0,0.0,29,34.9,48.3,31,37.3,51.7,17,20.5,6,7.2,M,04,35344,79.2
630,Total Cohort,04M495,PARK EAST HIGH SCHOOL,2004,72,57,79.2,29,40.3,50.9,1,1.4,1.8,28,38.9,49.1,28,38.9,49.1,12,16.7,3,4.2,M,04,35344,51.9
631,Total Cohort,04M495,PARK EAST HIGH SCHOOL,2005,104,54,51.9,31,29.8,57.4,6,5.8,11.1,25,24.0,46.3,23,22.1,42.6,35,33.7,11,10.6,M,04,35344,63.0
632,Total Cohort,04M495,PARK EAST HIGH SCHOOL,2006,92,58,63.0,29,31.5,50.0,5,5.4,8.6,24,26.1,41.4,29,31.5,50.0,19,20.7,10,10.9,M,04,35344,
633,Total Cohort,04M555,CENTRAL PARK EAST HIGH SCHOOL,2001,74,27,36.5,4,5.4,14.8,0,0.0,0.0,4,5.4,14.8,23,31.1,85.2,31,41.9,15,20.3,M,04,35344,37.5
634,Total Cohort,04M555,CENTRAL PARK EAST HIGH SCHOOL,2002,64,24,37.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,24,37.5,100.0,22,34.4,17,26.6,M,04,35344,50.0
635,Total Cohort,04M555,CENTRAL PARK EAST HIGH SCHOOL,2003,54,27,50.0,15,27.8,55.6,0,0.0,0.0,15,27.8,55.6,12,22.2,44.4,16,29.6,11,20.4,M,04,35344,52.2
636,Total Cohort,04M555,CENTRAL PARK EAST HIGH SCHOOL,2004,67,35,52.2,18,26.9,51.4,0,0.0,0.0,18,26.9,51.4,17,25.4,48.6,22,32.8,8,11.9,M,04,35344,58.3
637,Total Cohort,04M555,CENTRAL PARK EAST HIGH SCHOOL,2005,72,42,58.3,23,31.9,54.8,0,0.0,0.0,23,31.9,54.8,19,26.4,45.2,18,25.0,5,6.9,M,04,35344,71.40000000000002
638,Total Cohort,04M555,CENTRAL PARK EAST HIGH SCHOOL,2006,63,45,71.40000000000002,27,42.9,60.0,1,1.6,2.2,26,41.3,57.8,18,28.6,40.0,9,14.3,7,11.1,M,04,35344,
639,Total Cohort,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2001,63,61,96.8,44,69.8,72.09999999999998,10,15.9,16.4,34,54.0,55.7,17,27.0,27.9,2,3.2,0,0.0,M,04,35344,100.0
640,Total Cohort,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2002,54,54,100.0,42,77.8,77.8,9,16.7,16.7,33,61.1,61.1,12,22.2,22.2,0,0.0,0,0.0,M,04,35344,98.4
641,Total Cohort,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2003,64,63,98.4,46,71.90000000000002,73.0,12,18.8,19.0,34,53.1,54.0,17,26.6,27.0,1,1.6,0,0.0,M,04,35344,94.1
642,Total Cohort,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2004,51,48,94.1,41,80.4,85.4,8,15.7,16.7,33,64.7,68.8,7,13.7,14.6,3,5.9,0,0.0,M,04,35344,98.3
643,Total Cohort,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2005,59,58,98.3,50,84.7,86.2,7,11.9,12.1,43,72.9,74.09999999999998,8,13.6,13.8,1,1.7,0,0.0,M,04,35344,100.0
644,Total Cohort,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2006,55,55,100.0,47,85.5,85.5,9,16.4,16.4,38,69.1,69.1,8,14.5,14.5,0,0.0,0,0.0,M,04,35344,
645,Total Cohort,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,2001,55,29,52.7,3,5.5,10.3,0,0.0,0.0,3,5.5,10.3,26,47.3,89.7,19,34.5,7,12.7,M,04,35344,68.3
646,Total Cohort,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,2002,41,28,68.3,13,31.7,46.4,1,2.4,3.6,12,29.3,42.9,15,36.6,53.6,7,17.1,5,12.2,M,04,35344,55.9
647,Total Cohort,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,2003,68,38,55.9,20,29.4,52.6,4,5.9,10.5,16,23.5,42.1,18,26.5,47.4,25,36.8,5,7.4,M,04,35344,48.3
648,Total Cohort,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,2004,89,43,48.3,18,20.2,41.9,0,0.0,0.0,18,20.2,41.9,25,28.1,58.1,27,30.3,17,19.1,M,04,35344,49.4
649,Total Cohort,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,2005,85,42,49.4,17,20.0,40.5,1,1.2,2.4,16,18.8,38.1,25,29.4,59.5,30,35.3,10,11.8,M,04,35344,44.0
650,Total Cohort,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,2006,75,33,44.0,19,25.3,57.6,1,1.3,3.0,18,24.0,54.5,14,18.7,42.4,24,32.0,15,20.0,M,04,35344,
651,Total Cohort,04M680,HERITAGE SCHOOL  THE,2001,52,29,55.8,14,26.9,48.3,0,0.0,0.0,14,26.9,48.3,15,28.8,51.7,15,28.8,7,13.5,M,04,35344,70.8
652,Total Cohort,04M680,HERITAGE SCHOOL  THE,2002,72,51,70.8,39,54.2,76.5,11,15.3,21.6,28,38.9,54.9,12,16.7,23.5,13,18.1,7,9.7,M,04,35344,51.7
653,Total Cohort,04M680,HERITAGE SCHOOL  THE,2003,60,31,51.7,22,36.7,71.0,6,10.0,19.4,16,26.7,51.6,9,15.0,29.0,17,28.3,11,18.3,M,04,35344,57.6
654,Total Cohort,04M680,HERITAGE SCHOOL  THE,2004,59,34,57.6,18,30.5,52.9,4,6.8,11.8,14,23.7,41.2,16,27.1,47.1,16,27.1,7,11.9,M,04,35344,54.8
655,Total Cohort,04M680,HERITAGE SCHOOL  THE,2005,84,46,54.8,28,33.3,60.9,3,3.6,6.5,25,29.8,54.3,18,21.4,39.1,31,36.9,7,8.3,M,04,35344,64.0
656,Total Cohort,04M680,HERITAGE SCHOOL  THE,2006,75,48,64.0,30,40.0,62.5,2,2.7,4.2,28,37.3,58.3,18,24.0,37.5,20,26.7,7,9.3,M,04,35344,
657,Total Cohort,04M695,URBAN PEACE ACADEMY,2001,58,13,22.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,13,22.4,100.0,25,43.1,16,27.6,M,04,35344,40.5
658,Total Cohort,04M695,URBAN PEACE ACADEMY,2002,74,30,40.5,17,23.0,56.7,0,0.0,0.0,17,23.0,56.7,13,17.6,43.3,28,37.8,14,18.9,M,04,35344,37.7
659,Total Cohort,04M695,URBAN PEACE ACADEMY,2003,53,20,37.7,9,17.0,45.0,0,0.0,0.0,9,17.0,45.0,11,20.8,55.0,23,43.4,5,9.4,M,04,35344,59.1
660,Total Cohort,04M695,URBAN PEACE ACADEMY,2004,44,26,59.1,11,25.0,42.3,0,0.0,0.0,11,25.0,42.3,15,34.1,57.7,9,20.5,7,15.9,M,04,35344,54.4
661,Total Cohort,04M695,URBAN PEACE ACADEMY,2005,57,31,54.4,17,29.8,54.8,1,1.8,3.2,16,28.1,51.6,14,24.6,45.2,12,21.1,11,19.3,M,04,35344,77.8
662,Total Cohort,04M695,URBAN PEACE ACADEMY,2006,45,35,77.8,27,60.0,77.09999999999998,5,11.1,14.3,22,48.9,62.9,8,17.8,22.9,2,4.4,5,11.1,M,04,35344,
663,Total Cohort,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,68.0
664,Total Cohort,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,
665,Total Cohort,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,2003,7,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,51.3
666,Total Cohort,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,2004,80,41,51.3,18,22.5,43.9,1,1.3,2.4,17,21.3,41.5,23,28.8,56.1,27,33.8,7,8.800000000000002,X,09,27243,50.0
667,Total Cohort,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,2005,94,47,50.0,20,21.3,42.6,0,0.0,0.0,20,21.3,42.6,27,28.7,57.4,34,36.2,11,11.7,X,09,27243,61.5
668,Total Cohort,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,2006,96,59,61.5,33,34.4,55.9,1,1.0,1.7,32,33.3,54.2,26,27.1,44.1,27,28.1,8,8.3,X,09,27243,
669,Total Cohort,09X231,EAGLE ACADEMY FOR YOUNG MEN,2003,5,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,66.7
670,Total Cohort,09X231,EAGLE ACADEMY FOR YOUNG MEN,2004,84,56,66.7,24,28.6,42.9,1,1.2,1.8,23,27.4,41.1,32,38.1,57.1,23,27.4,3,3.6,X,09,27243,64.7
671,Total Cohort,09X231,EAGLE ACADEMY FOR YOUNG MEN,2005,85,55,64.7,34,40.0,61.8,0,0.0,0.0,34,40.0,61.8,21,24.7,38.2,25,29.4,5,5.9,X,09,27243,72.0
672,Total Cohort,09X231,EAGLE ACADEMY FOR YOUNG MEN,2006,100,72,72.0,51,51.0,70.8,0,0.0,0.0,51,51.0,70.8,21,21.0,29.2,23,23.0,4,4.0,X,09,27243,
673,Total Cohort,09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,
674,Total Cohort,09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,2003,3,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,52.9
675,Total Cohort,09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,2004,70,37,52.9,7,10.0,18.9,0,0.0,0.0,7,10.0,18.9,30,42.9,81.09999999999998,23,32.9,8,11.4,X,09,27243,53.5
676,Total Cohort,09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,2005,71,38,53.5,19,26.8,50.0,0,0.0,0.0,19,26.8,50.0,19,26.8,50.0,16,22.5,13,18.3,X,09,27243,43.2
677,Total Cohort,09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,2006,74,32,43.2,12,16.2,37.5,0,0.0,0.0,12,16.2,37.5,20,27.0,62.5,20,27.0,18,24.3,X,09,27243,
678,Total Cohort,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,2003,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,
679,Total Cohort,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,73.59999999999998
680,Total Cohort,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,2005,53,39,73.59999999999998,30,56.6,76.9,8,15.1,20.5,22,41.5,56.4,9,17.0,23.1,10,18.9,2,3.8,X,09,27243,81.7
681,Total Cohort,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,2006,60,49,81.7,42,70.0,85.7,3,5.0,6.1,39,65.0,79.59999999999998,7,11.7,14.3,7,11.7,3,5.0,X,09,27243,
682,Total Cohort,09X252,MOTT HALL BRONX HIGH SCHOOL,2004,5,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,88.5
683,Total Cohort,09X252,MOTT HALL BRONX HIGH SCHOOL,2005,104,92,88.5,71,68.3,77.2,7,6.7,7.6,64,61.5,69.6,21,20.2,22.8,8,7.7,2,1.9,X,09,27243,85.0
684,Total Cohort,09X252,MOTT HALL BRONX HIGH SCHOOL,2006,107,91,85.0,89,83.2,97.8,9,8.4,9.9,80,74.8,87.9,2,1.9,2.2,10,9.3,2,1.9,X,09,27243,
685,Total Cohort,09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,78.5
686,Total Cohort,09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,2005,93,73,78.5,67,72.0,91.8,26,28.0,35.6,41,44.1,56.2,6,6.5,8.2,19,20.4,0,0.0,X,09,27243,93.0
687,Total Cohort,09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,2006,100,93,93.0,80,80.0,86.0,29,29.0,31.2,51,51.0,54.8,13,13.0,14.0,3,3.0,4,4.0,X,09,27243,
688,Total Cohort,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,2005,103,70,68.0,51,49.5,72.9,0,0.0,0.0,51,49.5,72.9,19,18.4,27.1,16,15.5,15,14.6,X,09,27243,80.0
689,Total Cohort,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,2006,120,96,80.0,65,54.2,67.7,1,0.8,1.0,64,53.3,66.7,31,25.8,32.3,8,6.7,13,10.8,X,09,27243,
690,Total Cohort,09X276,LEADERSHIP INSTITUTE,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,67.7
691,Total Cohort,09X276,LEADERSHIP INSTITUTE,2005,62,42,67.7,26,41.9,61.9,3,4.8,7.1,23,37.1,54.8,16,25.8,38.1,1,1.6,15,24.2,X,09,27243,55.2
692,Total Cohort,09X276,LEADERSHIP INSTITUTE,2006,67,37,55.2,33,49.3,89.2,3,4.5,8.1,30,44.8,81.09999999999998,4,6.0,10.8,12,17.9,14,20.9,X,09,27243,
693,Total Cohort,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,2001,3,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,
694,Total Cohort,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,2002,4,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,72.7
695,Total Cohort,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,2003,66,48,72.7,6,9.1,12.5,0,0.0,0.0,6,9.1,12.5,42,63.6,87.5,11,16.7,3,4.5,X,09,27243,68.9
696,Total Cohort,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,2004,90,62,68.9,9,10.0,14.5,0,0.0,0.0,9,10.0,14.5,53,58.9,85.5,19,21.1,3,3.3,X,09,27243,86.9
697,Total Cohort,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,2005,61,53,86.9,20,32.8,37.7,0,0.0,0.0,20,32.8,37.7,33,54.1,62.3,0,0.0,5,8.2,X,09,27243,68.7
698,Total Cohort,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,2006,99,68,68.7,36,36.4,52.9,0,0.0,0.0,36,36.4,52.9,32,32.3,47.1,16,16.2,15,15.2,X,09,27243,
699,Total Cohort,09X329,DREAMYARD PREPARATORY SCHOOL,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,
700,Total Cohort,09X329,DREAMYARD PREPARATORY SCHOOL,2005,5,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,52.7
701,Total Cohort,09X329,DREAMYARD PREPARATORY SCHOOL,2006,93,49,52.7,35,37.6,71.40000000000002,3,3.2,6.1,32,34.4,65.3,14,15.1,28.6,29,31.2,14,15.1,X,09,27243,
702,Total Cohort,09X403,BRONX INTERNATIONAL HIGH SCHOOL,2001,41,21,51.2,21,51.2,100.0,0,0.0,0.0,21,51.2,100.0,0,0.0,0.0,20,48.8,0,0.0,X,09,27243,56.0
703,Total Cohort,09X403,BRONX INTERNATIONAL HIGH SCHOOL,2002,50,28,56.0,11,22.0,39.3,0,0.0,0.0,11,22.0,39.3,17,34.0,60.7,13,26.0,6,12.0,X,09,27243,47.5
704,Total Cohort,09X403,BRONX INTERNATIONAL HIGH SCHOOL,2003,61,29,47.5,7,11.5,24.1,0,0.0,0.0,7,11.5,24.1,22,36.1,75.9,26,42.6,1,1.6,X,09,27243,68.2
705,Total Cohort,09X403,BRONX INTERNATIONAL HIGH SCHOOL,2004,66,45,68.2,21,31.8,46.7,0,0.0,0.0,21,31.8,46.7,24,36.4,53.3,17,25.8,3,4.5,X,09,27243,73.8
706,Total Cohort,09X403,BRONX INTERNATIONAL HIGH SCHOOL,2005,61,45,73.8,22,36.1,48.9,1,1.6,2.2,21,34.4,46.7,23,37.7,51.1,2,3.3,7,11.5,X,09,27243,65.9
707,Total Cohort,09X403,BRONX INTERNATIONAL HIGH SCHOOL,2006,88,58,65.9,28,31.8,48.3,0,0.0,0.0,28,31.8,48.3,30,34.1,51.7,25,28.4,4,4.5,X,09,27243,
708,Total Cohort,09X404,SCHOOL FOR EXCELLENCE,2001,57,40,70.2,10,17.5,25.0,0,0.0,0.0,10,17.5,25.0,30,52.6,75.0,13,22.8,3,5.3,X,09,27243,69.1
709,Total Cohort,09X404,SCHOOL FOR EXCELLENCE,2002,68,47,69.1,16,23.5,34.0,0,0.0,0.0,16,23.5,34.0,31,45.6,66.0,13,19.1,1,1.5,X,09,27243,67.2
710,Total Cohort,09X404,SCHOOL FOR EXCELLENCE,2003,67,45,67.2,16,23.9,35.6,0,0.0,0.0,16,23.9,35.6,29,43.3,64.4,20,29.9,2,3.0,X,09,27243,75.0
711,Total Cohort,09X404,SCHOOL FOR EXCELLENCE,2004,92,69,75.0,21,22.8,30.4,0,0.0,0.0,21,22.8,30.4,48,52.2,69.6,14,15.2,7,7.6,X,09,27243,77.09999999999998
712,Total Cohort,09X404,SCHOOL FOR EXCELLENCE,2005,83,64,77.09999999999998,24,28.9,37.5,0,0.0,0.0,24,28.9,37.5,40,48.2,62.5,5,6.0,10,12.0,X,09,27243,60.2
713,Total Cohort,09X404,SCHOOL FOR EXCELLENCE,2006,108,65,60.2,32,29.6,49.2,0,0.0,0.0,32,29.6,49.2,33,30.6,50.8,25,23.1,10,9.3,X,09,27243,
714,Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2001,7,s,,s,,,s,,,s,,,s,,,s,,s,,X,09,27243,52.1
715,Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2002,71,37,52.1,27,38.0,73.0,8,11.3,21.6,19,26.8,51.4,10,14.1,27.0,25,35.20000000000001,8,11.3,X,09,27243,19.6
716,Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2003,112,22,19.6,15,13.4,68.2,7,6.3,31.8,8,7.1,36.4,7,6.3,31.8,56,50.0,26,23.2,X,09,27243,45.4
717,Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2004,108,49,45.4,41,38.0,83.7,13,12.0,26.5,28,25.9,57.1,8,7.4,16.3,39,36.1,18,16.7,X,09,27243,64.7
718,Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2005,102,66,64.7,48,47.1,72.7,20,19.6,30.3,28,27.5,42.4,18,17.6,27.3,2,2.0,28,27.5,X,09,27243,52.7
719,Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2006,110,58,52.7,40,36.4,69.0,13,11.8,22.4,27,24.5,46.6,18,16.4,31.0,33,30.0,18,16.4,X,09,27243,
720,Total Cohort,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2002,65,45,69.2,15,23.1,33.3,0,0.0,0.0,15,23.1,33.3,30,46.2,66.7,12,18.5,6,9.2,X,09,27243,74.0
721,Total Cohort,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2003,131,97,74.0,55,42.0,56.7,0,0.0,0.0,55,42.0,56.7,42,32.1,43.3,20,15.3,13,9.9,X,09,27243,83.3
722,Total Cohort,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2004,84,70,83.3,56,66.7,80.0,14,16.7,20.0,42,50.0,60.0,14,16.7,20.0,12,14.3,2,2.4,X,09,27243,95.8
